Amazon_BookTitle,Amazon_BookAuthor,Amazon_Rating,Amazon_Reviews Count,Amazon_Isbn-10,Amazon_Price,Flipkart_BookTitle,Flipkart_BookAuthor,Flipkart_Ratings,Flipkart_Reviews Count,Flipkart_Isbn-10,Flipkart_Price
Lauhpurush Sardar Vallabhbhai Patel, Sushil Kapoor,5,2,9350484080,143,Lauhpurush Sardar Vallabhbhai Patel, Sushil Kapoor,4,4,9350484080,125
Bal Thackeray and the Rise of the Shiv Sena, Vaibhav Purandare,3.7,13,8174369589,280,Bal Thackeray and the Rise of the Shiv Sena, Vaibhav Purandare,4.2,62,8174369589,280
Indira: India’s Most Powerful Prime Minister, Sagarika Ghose,1.4,389,9386228343,508,Indira: India’s Most Powerful Prime Minister, Sagarika Ghose,4.5,149,9386228343,359
Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff, Tom Gates,4.8,76,9351033007,157,Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff, Tom Gates,4.5,238,9351033007,176
Veronika Decides to Die, Paulo Coelho,4.4,202,8172235437,186,Veronika Decides to Die, Paulo Coelho,4.4,1393,8172235437,209
Miracles of Your Mind, Dr. Joseph Murphy,4.2,218,8183225101,72,Miracles of Your Mind, Dr. Joseph Murphy,4.3,1399,8183225101,117
The Leader Who Had No Title, Robin Sharma,4.4,393,8184951191,189,The Leader Who Had No Title, Robin Sharma,4.4,1344,8184951191,160
Tom Gates Book #3: Everythings Amazing, Tom Gates,4.8,55,9351033015,157,Tom Gates Book #3: Everythings Amazing, Tom Gates,4.6,166,9351033015,221
The Definitive Book of Body Language, Allan Pease,4.4,137,8183220142,255,The Definitive Book of Body Language, Allan Pease,4.4,643,8183220142,299
The Magic, Rhonda Byrne,4.6,602,1849838399,230,The Magic, Rhonda Byrne,4.4,2498,1849838399,255
Accounting and Finance for Bankers, Med,4.5,248,9350598485,352,Accounting and Finance for Bankers, Med,4.5,693,9350598485,330
Eclipse, Stephenie Meyer,4.3,92,1904233910,447,Eclipse, Stephenie Meyer,4.5,558,1904233910,309
The Philosophy Book (Big Ideas), DK,4.6,25,1405353295,609,The Philosophy Book (Big Ideas), DK,4.8,42,1405353295,788
The Great Book of Puzzles & Teasers, George J. Summers,4.2,68,8172242212,60,The Great Book of Puzzles & Teasers, George J. Summers,4.2,552,8172242212,149
My Baby Record Book, Dreamland Publications,4.4,117,9350896540,175,My Baby Record Book, Dreamland Publications,4.2,48,9350896540,175
Prep Guide To BITSAT 2019, Arihant Expert,4.1,19,9313163802,497,Prep Guide To BITSAT 2019, Arihant Expert,4.6,84,9313163802,490
The Business School, Robert T. Kiyosaki,4.5,216,8186775811,108,The Business School, Robert T. Kiyosaki,4.5,1281,8186775811,154
Before You Start Up: How to Prepare to Make Your Startup Dream a Reality, Pankaj Goyal,4.6,32,8175994401,179,Before You Start Up: How to Prepare to Make Your Startup Dream a Reality, Pankaj Goyal,4.3,29,8175994401,188
Questions Are the Answers, Allan Pease,4.4,226,8186775056,83,Questions Are the Answers, Allan Pease,4.4,1891,8186775056,76
Corporate Chanakya, Radhakrishnan Pillai,4.2,188,8184951337,189,Corporate Chanakya, Radhakrishnan Pillai,4.3,700,8184951337,189
IIMA - Day to Day Economics, Satish Y. Deodhar,4.4,314,8184001630,173,IIMA - Day to Day Economics, Satish Y. Deodhar,4.4,1706,8184001630,173
I Do What I Do, Raghuram G. Rajan,4.3,313,9352770145,363,I Do What I Do, Raghuram G. Rajan,4.6,2416,9352770145,436
Think and Grow Rich - the 21St-Century Edition, Napoleon Hill,4.6,118,8183223656,185,Think and Grow Rich - the 21St-Century Edition, Napoleon Hill,4.5,413,8183223656,148
The Business of the 21St Century (Tamil), Robert T Kiyosaki,3.8,22,8183223362,149,The Business of the 21St Century (Tamil), Robert T Kiyosaki,4.2,102,8183223362,149
The Dhandho Investor: The Low-Risk Value Method to High Returns, Mohnish Pabrai,4.2,169,8126564636,196,The Dhandho Investor: The Low-Risk Value Method to High Returns, Mohnish Pabrai,4.3,181,8126564636,268
Entrepreneur 5 P.M. to 9 A.M.: Launching a Profitable Start-Up without Quitting..., Kanth Miriyala,4,58,8129123932,195,Entrepreneur 5 P.M. to 9 A.M.: Launching a Profitable Start-Up without Quitting..., Kanth Miriyala,4.1,320,8129123932,118
The Business School, Robert T Kiyosaki,3.8,18,8183222366,185,The Business School, Robert T Kiyosaki,4.3,125,8183222366,220
Copycat Marketing 101, Burke Hedges,4.2,206,8182744466,90,Copycat Marketing 101, Burke Hedges,4.3,548,8182744466,125
The Business of the 21St Century, Robert T. Kiyosaki,4.3,29,8183223664,157,The Business of the 21St Century, Robert T. Kiyosaki,4.3,82,8183223664,149
Business Sutra: A Very Indian Approach to Management (Old Edition), Devdutt Pattanaik - Unabridged,4.4,110,9384067547,489,Business Sutra: A Very Indian Approach to Management (Old Edition), Devdutt Pattanaik - Unabridged,4.5,294,9384067547,360
"The $100 Startup: Fire Your Boss, Do What You Love and Work Better To Live More", Chris Guillebeau,4,112,1447286316,239,"The $100 Startup: Fire Your Boss, Do What You Love and Work Better To Live More", Chris Guillebeau,4.4,198,1447286316,298
The Business of the 21St Century, Robert T. Kiyosaki,4.1,69,8183223273,164,The Business of the 21St Century, Robert T. Kiyosaki,4.3,73,8183223273,185
The One Minute Manager, Kenneth Blanchard,4.4,234,8172234996,118,The One Minute Manager, Kenneth Blanchard,4.4,1087,8172234996,118
Sawal Hi Jawab Hai, Allan Pease,4.3,237,8186775064,64,Sawal Hi Jawab Hai, Allan Pease,4.3,1308,8186775064,114
The Big 100: The 100 Business Tools You Need to Succeed, Jeremy Kourdi,4.8,6,1444796119,208,The Big 100: The 100 Business Tools You Need to Succeed, Jeremy Kourdi,4.1,28,1444796119,197
Naye Zamane Ka Naya Business: Network Marketing, Shanker Manshani,4.2,29,8183222692,190,Naye Zamane Ka Naya Business: Network Marketing, Shanker Manshani,4.4,118,8183222692,195
Questions Are the Answers, Allan Pease,4,21,8183222374,84,Questions Are the Answers, Allan Pease,4.2,145,8183222374,93
Inside the C-Suite: 21 Lessons from Top Management to Get Your Way in Business..., Jayaram Easwaran,4.8,15,9352773691,240,Inside the C-Suite: 21 Lessons from Top Management to Get Your Way in Business..., Jayaram Easwaran,4,5,9352773691,240
Business Studies Class- 11 - CBSE-2018, Poonam Gandhi,4.9,11,9387516806,350,Business Studies Class- 11 - CBSE-2018, Poonam Gandhi,4.5,33,9387516806,342
Narrative and Numbers: The Value of Stories in Business, Aswath Damodaran,4.7,4,9353024536,311,Narrative and Numbers: The Value of Stories in Business, Aswath Damodaran,4,45,9353024536,311
Sochiye Aur Amir Baniye (Think and Grow Rich), Napoleon Hill,4.2,332,8186775552,158,Sochiye Aur Amir Baniye (Think and Grow Rich), Napoleon Hill,4.2,665,8186775552,112
Business Studies Class 12 - CBSE 2018, Gandhi. Poonam,4.4,8,9387516644,375,Business Studies Class 12 - CBSE 2018, Gandhi. Poonam,4.1,35,9387516644,381
A Feast of Vultures: The Hidden Business of Democracy in India, Josy Joseph,4.5,254,9350297515,522,A Feast of Vultures: The Hidden Business of Democracy in India, Josy Joseph,4.5,195,9350297515,599
I have a Dream, Rashmi Bansal,3.9,126,9380658389,187,I have a Dream, Rashmi Bansal,4,1007,9380658389,187
Logon ko 90 seconds Mein Kaise Prabhavit Karen, Nicholas Boothman,4.3,21,8183226957,207,Logon ko 90 seconds Mein Kaise Prabhavit Karen, Nicholas Boothman,4.4,9,8183226957,215
Think and Grow Rich 21St Cent. Edition, Napoleon Hill,4.4,92,8183223133,189,Think and Grow Rich 21St Cent. Edition, Napoleon Hill,4.3,196,8183223133,203
Marketing 4.0: Moving from Traditional to Digital, Philip Kotler,4.2,50,8126566930,298,Marketing 4.0: Moving from Traditional to Digital, Philip Kotler,4.4,64,8126566930,298
Questions Are the Answers, Allan Pease,3.5,7,8186775447,116,Questions Are the Answers, Allan Pease,4.3,30,8186775447,112
HBR's 10 Must Reads: On Leadership (Harvard Business Review Must Reads), HBR,4.8,14,1422157970,600,HBR's 10 Must Reads: On Leadership (Harvard Business Review Must Reads), HBR,4.7,30,1422157970,563
Retire Young Retire Rich, Robert T. Kiyosaki,4.3,45,8183221459,344,Retire Young Retire Rich, Robert T. Kiyosaki,4.5,125,8183221459,308
Hum Apko Ameer Kyon Banana Chahte Hain ( Why We Want You to Be Rich  in Hindi), Robert T. Kiyosaki,3.9,15,8183220908,333,Hum Apko Ameer Kyon Banana Chahte Hain ( Why We Want You to Be Rich  in Hindi), Robert T. Kiyosaki,4.2,43,8183220908,419
Connect the Dots, Rashmi Bansal,4.3,344,9381626707,197,Connect the Dots, Rashmi Bansal,4.3,992,9381626707,191
Corporate Chanakya on Leadership (With CD), Radhakrishnan Pillai,4.4,27,8184953070,284,Corporate Chanakya on Leadership (With CD), Radhakrishnan Pillai,4.3,68,8184953070,232
Corporate Guru Dhirubhai Ambani, Prateeksha M. Tiwari,3.3,18,8128824287,101,Corporate Guru Dhirubhai Ambani, Prateeksha M. Tiwari,4.6,44,8128824287,101
CBSE Chapterwise Solved Paper Business Studies Class 12 for 2018-2019, Arihant Expert,3.7,18,9313161443,110,CBSE Chapterwise Solved Paper Business Studies Class 12 for 2018-2019, Arihant Expert,4.5,172,9313161443,124
The Essential Collection for Young Readers, Ruskin Bond,4.2,29,8129137003,195,The Essential Collection for Young Readers, Ruskin Bond,4.4,191,8129137003,118
Lovely Board Books: Gift Pack (Set of 10 Books), Dreamland Publications,4.3,711,8184511590,455,Lovely Board Books: Gift Pack (Set of 10 Books), Dreamland Publications,4.2,233,8184511590,455
The Vedas and Upanishads for Children, Roopa Pai,3,2,9351952967,238,The Vedas and Upanishads for Children, Roopa Pai,4.9,8,9351952967,238
Goodnight Moon, Margaret Wise Brown,3.9,190,1509829466,107,Goodnight Moon, Margaret Wise Brown,4,34,1509829466,139
365 Pancharantra Stories, OM Books,4.1,180,8187107588,357,365 Pancharantra Stories, OM Books,4.4,242,8187107588,396
The Blue Umbrella, Ruskin Bond,4.4,348,8129124548,97,The Blue Umbrella, Ruskin Bond,4.5,571,8129124548,90
Baby touch: Peekaboo, Lemon Ribbon Studio,4.3,596,1409300498,230,Baby touch: Peekaboo, Lemon Ribbon Studio,4.4,356,1409300498,319
The Book of Children: Supporting the Freedom and Intelligence of a New Generation..., Osho,4.6,35,1250006201,298,The Book of Children: Supporting the Freedom and Intelligence of a New Generation..., Osho,4.5,31,1250006201,280
Children's Encyclopedia - The World of Knowledge: Familiarising Children with..., V&S Editorial Board,4,112,9350571099,643,Children's Encyclopedia - The World of Knowledge: Familiarising Children with..., V&S Editorial Board,4.2,99,9350571099,975
Student's Encyclopedia of General Knowledge (General Press), Azeem Ahmad Khan,4.1,189,9380914199,131,Student's Encyclopedia of General Knowledge (General Press), Azeem Ahmad Khan,4.4,859,9380914199,131
A Complete Resource for CTET: Child Development and Pedagogy, Sandeep Kumar,3.9,67,9332541302,125,A Complete Resource for CTET: Child Development and Pedagogy, Sandeep Kumar,4.2,616,9332541302,141
Jane Eyre, Charlotte Bronte,4.3,183,8193387619,88,Jane Eyre, Charlotte Bronte,4.5,39,8193387619,99
Metamorphosis, Franz Kafka,4.2,198,8172345135,69,Metamorphosis, Franz Kafka,4.4,466,8172345135,94
Three Men in a Boat, Jerome K. Jerome,4.3,201,8172344430,99,Three Men in a Boat, Jerome K. Jerome,4.3,106,8172344430,140
Macbeth, William Shakespeare,4.3,89,8175994193,99,Macbeth, William Shakespeare,4.4,180,8175994193,117
The Greatest Short Stories of Leo Tolstoy, Leo Tolstoy,4.5,173,8184950314,189,The Greatest Short Stories of Leo Tolstoy, Leo Tolstoy,4.6,214,8184950314,184
Mrs. Dalloway, Virginia Woolf,4.2,33,8175994215,99,Mrs. Dalloway, Virginia Woolf,4.3,24,8175994215,150
The Origin of Species, Charles Darwin,4.3,214,8172344880,189,The Origin of Species, Charles Darwin,4.4,142,8172344880,188
Tantri the Mantri - 4, Rajani Thindiath,4,7,9350853701,76,Tantri the Mantri - 4, Rajani Thindiath,4.4,64,9350853701,79
Bāhubali: Battle of the Bold, Graphic India,3.7,55,9386224658,95,Bāhubali: Battle of the Bold, Graphic India,4,102,9386224658,95
Geronimo Stilton #64: The Magical Mission, Geronimo Stilton,4.4,91,9386106256,272,Geronimo Stilton #64: The Magical Mission, Geronimo Stilton,4.5,285,9386106256,184
Objective Computer Awareness, Arihant Experts,4,171,9311121266,78,Objective Computer Awareness, Arihant Experts,4.3,1936,9311121266,78
A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts, Made Easy Editorial Board,4,180,9383643242,247,A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts, Made Easy Editorial Board,4.3,490,9383643242,191
Handbook of Computer Science & IT, Surbhi Mitra,3.9,193,9350944308,190,Handbook of Computer Science & IT, Surbhi Mitra,4.2,950,9350944308,120
CCC (Course on Computer Concepts) Study Guide, Arihant Experts,4.3,44,9311124559,147,CCC (Course on Computer Concepts) Study Guide, Arihant Experts,4.2,810,9311124559,125
Computer Knowledge for SBI/IBPS Clerk/PO/RRB/RBI/SSC... Exams, Shikha Agarwal,3.5,46,9386320177,93,Computer Knowledge for SBI/IBPS Clerk/PO/RRB/RBI/SSC... Exams, Shikha Agarwal,4.1,482,9386320177,104
19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise..., Disha Experts,3.8,5,9388026764,175,19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise..., Disha Experts,4.2,46,9388026764,189
Computer System Architecture 3e (Update)  Pearson, Mano M Morris,4.3,102,9332585601,446,Computer System Architecture 3e (Update)  Pearson, Mano M Morris,4.5,116,9332585601,446
CBSE Computer Science Chapterwise Solved Papers  Class 12 for 2018-2019, Arihant Expert,4.4,27,9313161486,232,CBSE Computer Science Chapterwise Solved Papers  Class 12 for 2018-2019, Arihant Expert,4.5,472,9313161486,166
CBSE All  In One Computer Science CBSE Class 12 for 2018 - 19, K. Ganesh Ayyer,4.2,19,9312149091,232,CBSE All  In One Computer Science CBSE Class 12 for 2018 - 19, K. Ganesh Ayyer,4.5,261,9312149091,232
"Computer Networks, 5e (5th Edition)", Tanenbaum,4.2,61,9332518742,493,"Computer Networks, 5e (5th Edition)", Tanenbaum,4.4,304,9332518742,493
CCC (Course on Computer Concepts), Arihant Experts,3.8,41,9311124567,94,CCC (Course on Computer Concepts), Arihant Experts,4.2,649,9311124567,94
Oswaal ICSE Question Bank Class 10 Computer Application Chapterwise and Topicwise..., Oswaal Editorial Board,3.7,11,9387504743,75,Oswaal ICSE Question Bank Class 10 Computer Application Chapterwise and Topicwise..., Oswaal Editorial Board,4.5,53,9387504743,79
Super Speed Computer Course, Shashank Johari,3.9,12,8173158762,250,Super Speed Computer Course, Shashank Johari,3.8,70,8173158762,195
Comdex Hardware and Networking Course Kit: Revised & Upgraded, Vikas Gupta,4,16,9351192652,379,Comdex Hardware and Networking Course Kit: Revised & Upgraded, Vikas Gupta,4.2,44,9351192652,399
Object-Oriented Programming with C++, E Balagurusamy,4.5,73,9352607996,371,Object-Oriented Programming with C++, E Balagurusamy,4.5,276,9352607996,371
Programming and Problem Solving with Python, Ashok Namdev Kamthane,4.8,6,9387067572,519,Programming and Problem Solving with Python, Ashok Namdev Kamthane,4.4,171,9387067572,416
Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (..., Oswaal Editorial Board,4.7,167,9387504921,320,Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (..., Oswaal Editorial Board,4.4,1539,9387504921,303
Olympiad Champs Cyber Class 1 with Past Olympiad Questions, Disha Experts,5,1,9388240278,90,Olympiad Champs Cyber Class 1 with Past Olympiad Questions, Disha Experts,4.8,6,9388240278,102
"Computer Fundamentals, 1e", Goel,4.2,43,8131733092,349,"Computer Fundamentals, 1e", Goel,4.3,240,8131733092,455
Electronics and Communication Engineering GATE 2019, Ankit Goel,4.1,14,9312148222,669,Electronics and Communication Engineering GATE 2019, Ankit Goel,4.4,222,9312148222,556
Brain Games for Clever Kids (Buster Brain Games), Gareth Moore,4.6,37,1780552491,188,Brain Games for Clever Kids (Buster Brain Games), Gareth Moore,4.2,179,1780552491,137
The Perfect Murder, Ruskin Bond - Import,3.8,56,8129144972,195,The Perfect Murder, Ruskin Bond - Import,4.3,279,8129144972,118
3 and a Half Murders: An Inspector Saralkar Mystery, Salil Desai,4.4,69,8175994258,189,3 and a Half Murders: An Inspector Saralkar Mystery, Salil Desai,4.5,16,8175994258,188
I Am Watching You, Teresa Driscoll,4,46,1542046599,269,I Am Watching You, Teresa Driscoll,4.2,41,1542046599,269
Born a Crime: Stories from a South African Childhood, Trevor Noah,4.8,143,1473635306,388,Born a Crime: Stories from a South African Childhood, Trevor Noah,4.7,224,1473635306,299
The Other Side of Midnight, Sidney Sheldon,4.3,53,8172234937,209,The Other Side of Midnight, Sidney Sheldon,4.5,386,8172234937,209
Nothing Lasts Forever, Sidney Sheldon,4.2,84,8172234856,266,Nothing Lasts Forever, Sidney Sheldon,4.5,590,8172234856,280
Harry Potter and the Goblet of Fire (Harry Potter 4), J.K. Rowling,4.7,322,1408855682,524,Harry Potter and the Goblet of Fire (Harry Potter 4), J.K. Rowling,4.7,2751,1408855682,524
Peaks and Valleys, Spencer Johnson,4.4,28,1847396488,109,Peaks and Valleys, Spencer Johnson,4.7,50,1847396488,109
Attitude Is Everything (Pentagon Press), Jeff Keller,4.3,40,8182747252,166,Attitude Is Everything (Pentagon Press), Jeff Keller,4.3,31,8182747252,148
Dork Diaries Frenemies Forever, Rachel Renee Russell,4.6,70,1471158039,182,Dork Diaries Frenemies Forever, Rachel Renee Russell,4.4,225,1471158039,172
Dork Diaries: Holiday Heartbreak, Rachel Renee Russell - Import,4.8,45,1471144771,254,Dork Diaries: Holiday Heartbreak, Rachel Renee Russell - Import,4.5,8,1471144771,245
Dork Diaries, Rachel Renee Russell,4.6,49,1471168018,202,Dork Diaries, Rachel Renee Russell,4.7,169,1471168018,191
Dork Diaries: TV Star, Rachel Renee Russell - Import,4.8,37,1471143953,308,Dork Diaries: TV Star, Rachel Renee Russell - Import,4.6,82,1471143953,203
"Understanding Exposure, Fourth Edition", BRYAN PETERSON,4.5,48,1607748509,633,"Understanding Exposure, Fourth Edition", BRYAN PETERSON,4.6,18,1607748509,633
The Digital Photography Handbook: An Illustrated Step--step Guide, Doug Harman - Import,4,1,1786481324,437,The Digital Photography Handbook: An Illustrated Step--step Guide, Doug Harman - Import,4,2,1786481324,449
"Big Data: A Revolution That Will Transform How We Live, Work and Think", Viktor Mayer-Schonberger,3.8,57,1848547927,255,"Big Data: A Revolution That Will Transform How We Live, Work and Think", Viktor Mayer-Schonberger,4.3,64,1848547927,275
Photography: The Definitive Visual History, Tom Ang,5,2,1409346455,1,Photography: The Definitive Visual History, Tom Ang,4.5,2,1409346455,1581
Stretch Your Technology Email, Ankit Fadia,4.1,14,9385152459,77,Stretch Your Technology Email, Ankit Fadia,3.9,17,9385152459,81
Digital Photography for Beginners: Photography Essentials Basics Lessons Course..., Angela Pierce,1,5,1681858711,349,Digital Photography for Beginners: Photography Essentials Basics Lessons Course..., Angela Pierce,4.5,3,1681858711,349
Valley of Genius, Adam Fisher,5,2,1538714493,510,Valley of Genius, Adam Fisher,4.6,7,1538714493,429
So You Want to Know About Economics, Roopa Pai - Import,4.7,65,8129145197,195,So You Want to Know About Economics, Roopa Pai - Import,4.4,172,8129145197,118
Fault Lines : How Hidden Fractures Still Threaten The World Economy, Raghuram Rajan,4.7,139,9350291738,421,Fault Lines : How Hidden Fractures Still Threaten The World Economy, Raghuram Rajan,4.6,438,9350291738,311
UGC NET Economics, Sunder Gopal Mishra,4.2,14,9312146440,469,UGC NET Economics, Sunder Gopal Mishra,3.8,91,9312146440,351
15 Sample Question Papers Economics Class 12th CBSE, Arihant Experts,4.5,2,9313166046,200,15 Sample Question Papers Economics Class 12th CBSE, Arihant Experts,4.6,103,9313166046,139
CBSE All  In One Economics Class 11 for 2018 - 19, Arihant Experts,3.6,17,9312148389,264,CBSE All  In One Economics Class 11 for 2018 - 19, Arihant Experts,4.2,157,9312148389,315
CBSE Chapterwise Solved Papers Economics Class 12 for 2018-2019, Arihant Expert,4.3,17,9313161451,159,CBSE Chapterwise Solved Papers Economics Class 12 for 2018-2019, Arihant Expert,4.6,242,9313161451,159
15 Sample Question Papers Economic Class 11th CBSE, Arihant Expert,3,1,9313166208,109,15 Sample Question Papers Economic Class 11th CBSE, Arihant Expert,4.6,16,9313166208,109
KVS PGT Self Preparation Guide Economics Recruitment Examination, Arihant Experts,3.3,3,9312144960,228,KVS PGT Self Preparation Guide Economics Recruitment Examination, Arihant Experts,4.1,39,9312144960,227
CBSE All  In One Economics CBSE Class 12 for 2018 - 19, Arihant Experts,3.8,32,9312149083,210,CBSE All  In One Economics CBSE Class 12 for 2018 - 19, Arihant Experts,4.6,226,9312149083,195
Objective Economics (वस्तुनिष्ठ अर्थशास्त्र), Sanjay Kumar,3.4,8,9350126672,135,Objective Economics (वस्तुनिष्ठ अर्थशास्त्र), Sanjay Kumar,4.1,17,9350126672,147
Mastering the Market Cycle: Getting the Odds on Your Side, Howard Marks,4.1,15,1473680379,616,Mastering the Market Cycle: Getting the Odds on Your Side, Howard Marks,4.5,16,1473680379,699
Indian Economy, Gaurav  Datt,3.6,48,9352531299,499,Indian Economy, Gaurav  Datt,4.1,166,9352531299,499
EAD 15+1 cbse sample papers for class 12 Economics for 2019 examination, Rachna Sagar,3,2,9387984532,189,EAD 15+1 cbse sample papers for class 12 Economics for 2019 examination, Rachna Sagar,4.7,18,9387984532,156
Xam Idea Economics Class 12 for 2019 Exam, VK Global Publications Pvt. Ltd.,3.1,4,9387958477,390,Xam Idea Economics Class 12 for 2019 Exam, VK Global Publications Pvt. Ltd.,4.6,35,9387958477,365
The Most Important Thing: Uncommon Sense for The Thoughtful Investor, Howard Marks - Import,4.7,30,9353022797,238,The Most Important Thing: Uncommon Sense for The Thoughtful Investor, Howard Marks - Import,4.7,22,9353022797,238
Capital (Das Kapital), Karl Marx,4.5,48,8175994142,299,Capital (Das Kapital), Karl Marx,4.3,251,8175994142,378
India After Gandhi: The History of the World's Largest Democracy, Ramachandra Guha,4.5,232,9382616977,477,India After Gandhi: The History of the World's Largest Democracy, Ramachandra Guha,4.6,1117,9382616977,477
Advanced Economic Theory, H L Ahuja,3.3,23,9352533321,655,Advanced Economic Theory, H L Ahuja,4.5,50,9352533321,699
The Failure Project: The Story of Man's Greatest Fear, Kochhar,4.1,8,9352015789,231,The Failure Project: The Story of Man's Greatest Fear, Kochhar,4.6,8,9352015789,287
Objective Civil Engineering, P.K. Mishra,3.5,37,8174827986,103,Objective Civil Engineering, P.K. Mishra,3.8,169,8174827986,123
Children's Science Encyclopedia (Hindi): Familiarises Children with Important..., A.H Hashmi,3.3,4,9381588813,413,Children's Science Encyclopedia (Hindi): Familiarises Children with Important..., A.H Hashmi,4.3,6,9381588813,695
First Encyclopedia of Animals (Usborne First Encyclopedias), Paul Dowswell,5,2,1409522423,455,First Encyclopedia of Animals (Usborne First Encyclopedias), Paul Dowswell,3.8,6,1409522423,449
"Horoscope 2019: Your Complete Forecast, Pisces", Bejan Daruwalla,,,9353024064,61,"Horoscope 2019: Your Complete Forecast, Pisces", Bejan Daruwalla,3.7,7,9353024064,61
Tarot Predictions 2019, Karmel Nair - Import,5,11,9353020123,183,Tarot Predictions 2019, Karmel Nair - Import,5,3,9353020123,187
"National Geographic Answer Book: 10,001 Fast Facts About Our World", National Geographic,4,6,1426208928,750,"National Geographic Answer Book: 10,001 Fast Facts About Our World", National Geographic,4.4,63,1426208928,898
"Horoscope 2019: Your Complete Forecast, Scorpio", Bejan Daruwalla,4,1,9353024226,74,"Horoscope 2019: Your Complete Forecast, Scorpio", Bejan Daruwalla,4.6,5,9353024226,61
Quick General Knowledge 2018 with Current Affairs Update, Disha Experts,3.4,90,9386323567,37,Quick General Knowledge 2018 with Current Affairs Update, Disha Experts,4.2,988,9386323567,50
5 Lb. Book of Gre Practice Problems (Manhattan Prep 5 lb Series), Manhattan Prep,4.6,151,1506247598,1,5 Lb. Book of Gre Practice Problems (Manhattan Prep 5 lb Series), Manhattan Prep,4.5,456,1506247598,1799
NEET Prep Guide 2019 with free Revision Points Booklet, Arihant Expert,4.5,7,9313162539,685,NEET Prep Guide 2019 with free Revision Points Booklet, Arihant Expert,4.3,111,9313162539,697
Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations..., A. P. Bhardwaj,4.4,46,9352864964,412,Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations..., A. P. Bhardwaj,4.5,236,9352864964,412
50 Successful Harvard Application Essays: What Worked for Them Can Help You Get..., Harvard Crimson,5,4,1250127556,319,50 Successful Harvard Application Essays: What Worked for Them Can Help You Get..., Harvard Crimson,4,5,1250127556,299
"CISSP All-in-One Exam Guide, Eighth Edition", Shon Harris - Import,3.7,11,1260142655,4,"CISSP All-in-One Exam Guide, Eighth Edition", Shon Harris - Import,0,0,1260142655,5201
Family Wisdom From The Monk Who Sold His Ferrari, Robin Sharma,4.3,72,8179922308,214,Family Wisdom From The Monk Who Sold His Ferrari, Robin Sharma,4.4,280,8179922308,200
You are My Reason to Smile, Arpit Vageria,4.4,470,9382665889,88,You are My Reason to Smile, Arpit Vageria,4.3,902,9382665889,101
Her Last Wish, Ajay K. Pandey,4.7,1010,9382665870,88,Her Last Wish, Ajay K. Pandey,4.5,2431,9382665870,101
Peppa Pig: My Daddy, Peppa Pig,4.1,19,1409309061,237,Peppa Pig: My Daddy, Peppa Pig,3.3,433,1409309061,155
Family Wisdom, Robin Sharma,4.3,3,8184951914,166,Family Wisdom, Robin Sharma,4.3,21,8184951914,175
When Breath Becomes Air, Paul Kalanithi,4.6,626,1847923674,332,When Breath Becomes Air, Paul Kalanithi,4.6,1873,1847923674,332
"Men are from Mars, Women are from Venus", John Gray,4.4,427,8172235038,209,"Men are from Mars, Women are from Venus", John Gray,4.4,2581,8172235038,209
Rich Dad Poor Dad (tamil), Robert T Kiyosaki,4.5,361,8183223753,203,Rich Dad Poor Dad (tamil), Robert T Kiyosaki,4.4,600,8183223753,220
What to Expect When You're Expecting, Heidi Murkoff,4.4,71,1471147533,521,What to Expect When You're Expecting, Heidi Murkoff,4.7,149,1471147533,510
Light on Yoga: The Classic Guide to Yoga  the World's Foremost Authority, B.K.S. Iyengar,4.5,316,8172235011,298,Light on Yoga: The Classic Guide to Yoga  the World's Foremost Authority, B.K.S. Iyengar,4.5,591,8172235011,298
How to Talk So Kids Will Listen and Listen So Kids Will Talk, Adele Faber,4.7,86,1848126328,255,How to Talk So Kids Will Listen and Listen So Kids Will Talk, Adele Faber,4.5,55,1848126328,225
Tell Tale, Jeffrey Archer,4.4,133,1509867767,269,Tell Tale, Jeffrey Archer,4.5,313,1509867767,255
Ayurvediya Garbh Sanskar (Marathi), Shree Balaji Tambe,4.5,408,9380571089,601,Ayurvediya Garbh Sanskar (Marathi), Shree Balaji Tambe,4.3,1927,9380571089,640
Harry Potter and the Order of the Phoenix (Harry Potter 5), J.K. Rowling,4.5,304,1408855690,599,Harry Potter and the Order of the Phoenix (Harry Potter 5), J.K. Rowling,4.8,2441,1408855690,524
The Great Indian Diet, Shilpa Shetty Kundra,4,380,8184007485,161,The Great Indian Diet, Shilpa Shetty Kundra,4,1874,8184007485,161
One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children, Dr Prashant Jindal,4.6,44,9352774531,157,One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children, Dr Prashant Jindal,3.9,15,9352774531,176
